"count households with [household-behavioral-type = ""E-RO""]","count households with [household-behavioral-type = ""E-RO""].1","count households with [household-behavioral-type = ""E-RO""].2","count households with [household-behavioral-type = ""E-RO""].3","count households with [household-behavioral-type = ""E-RO""].4","count households with [household-behavioral-type = ""E-RO""].5","count households with [household-behavioral-type = ""E-RO""].6","count households with [household-behavioral-type = ""E-RO""].7","count households with [household-behavioral-type = ""E-RO""].8","count households with [household-behavioral-type = ""E-RO""].9","count households with [household-behavioral-type = ""E-RO""].10","count households with [household-behavioral-type = ""E-RO""].11","count households with [household-behavioral-type = ""E-RO""].12","count households with [household-behavioral-type = ""E-RO""].13","count households with [household-behavioral-type = ""E-RO""].14","count households with [household-behavioral-type = ""E-RO""].15","count households with [household-behavioral-type = ""E-RO""].16","count households with [household-behavioral-type = ""E-RO""].17","count households with [household-behavioral-type = ""E-RO""].18","count households with [household-behavioral-type = ""E-RO""].19","count households with [household-behavioral-type = ""E-RO""].20","count households with [household-behavioral-type = ""E-RO""].21","count households with [household-behavioral-type = ""E-RO""].22","count households with [household-behavioral-type = ""E-RO""].23","count households with [household-behavioral-type = ""E-RO""].24","count households with [household-behavioral-type = ""E-RO""].25","count households with [household-behavioral-type = ""E-RO""].26","count households with [household-behavioral-type = ""E-RO""].27","count households with [household-behavioral-type = ""E-RO""].28","count households with [household-behavioral-type = ""E-RO""].29"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,21,20,20,20,20,20,20,21,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
27,22,16,20,20,20,19,22,22,18,21,14,20,20,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
32,23,16,18,19,22,21,20,22,18,25,14,22,20,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
32,21,13,17,15,24,21,21,18,15,29,14,24,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,20,18,20,13,30,24,20,20,22,39,13,28,20,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,20,15,20,11,27,24,21,19,27,39,11,27,19,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,20,10,19,9,28,22,21,19,25,39,11,28,20,14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
30,19,9,21,8,31,19,23,18,23,38,8,29,14,11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
30,19,6,21,8,31,19,23,17,23,38,8,29,14,11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
27,17,4,18,6,30,17,23,14,21,40,10,29,13,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
28,18,3,18,7,31,17,22,14,20,39,11,32,11,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,15,2,20,6,30,19,25,13,13,37,13,29,17,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,15,2,20,4,29,18,23,12,14,40,14,31,17,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
22,15,2,19,4,27,17,22,12,14,40,14,31,13,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,14,2,17,4,27,16,23,11,13,40,13,28,16,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,12,2,16,4,27,16,23,12,12,38,13,27,14,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,12,2,16,4,26,15,24,11,8,38,13,25,12,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,11,2,17,4,25,15,24,11,8,39,12,25,10,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,11,2,15,4,27,15,24,11,5,38,13,25,11,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,11,2,13,4,26,15,23,10,6,40,14,23,9,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,11,2,14,2,24,15,23,7,5,38,13,22,10,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,12,2,14,2,24,15,23,8,6,41,13,21,11,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,12,2,14,2,25,14,23,10,4,38,14,21,11,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
27,12,2,12,2,24,15,23,11,5,39,14,19,12,7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,13,2,12,2,25,14,22,11,5,39,13,22,13,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,13,2,10,2,22,13,21,11,5,39,14,20,13,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,10,2,8,1,24,14,21,12,4,39,14,18,12,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,9,2,9,1,24,14,20,7,5,40,13,18,13,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
27,9,2,8,1,25,14,17,10,4,39,13,19,12,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,9,2,8,1,24,14,17,7,4,39,13,18,9,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,9,2,8,1,26,14,17,8,4,40,13,17,9,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,9,2,8,1,26,14,17,8,4,38,13,17,9,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,9,2,8,1,26,14,16,7,4,39,13,17,10,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,10,2,8,1,26,14,17,6,4,40,13,17,9,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,10,2,8,1,26,14,17,5,3,39,13,16,9,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,9,2,8,1,26,14,17,6,3,35,12,16,7,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,8,2,9,1,26,14,17,6,3,33,12,16,7,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,7,2,7,1,27,13,16,6,2,33,13,16,7,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,7,2,8,1,27,12,16,6,3,33,13,16,6,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,7,2,7,1,27,11,18,5,2,34,13,15,6,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,4,2,5,1,26,10,17,5,2,31,14,15,6,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,4,2,3,1,27,10,17,7,3,29,13,16,7,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,26,10,19,6,2,28,12,14,6,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,4,2,3,1,27,10,16,6,3,28,13,14,7,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,4,2,3,1,26,10,17,6,3,26,12,16,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,2,1,26,10,17,7,2,27,13,13,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,26,10,17,7,3,27,12,12,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,4,2,2,1,26,10,17,5,2,27,15,13,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,4,2,3,1,26,10,16,6,2,26,14,14,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,4,2,3,1,26,10,18,7,3,26,13,14,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,27,10,17,5,2,27,13,12,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
22,4,2,2,1,25,10,18,6,2,27,14,14,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,26,10,18,5,2,26,14,15,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,4,2,2,1,27,10,18,6,3,26,13,13,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,2,1,26,10,18,4,2,26,14,13,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,26,10,18,3,3,27,14,10,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,26,10,16,4,3,26,13,10,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,4,2,3,1,27,10,18,4,3,26,12,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,3,2,3,1,27,10,18,5,2,26,13,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,1,2,3,1,27,10,16,4,2,27,13,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,25,10,18,5,2,26,14,10,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,27,10,19,3,2,26,12,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,26,10,18,5,3,26,14,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,3,1,25,10,17,4,3,26,12,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,2,1,25,10,19,4,2,26,14,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,27,10,16,3,2,26,13,10,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,2,1,26,10,19,4,2,26,13,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,2,1,25,10,17,4,3,26,13,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,27,10,17,3,2,26,13,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,27,10,18,4,3,26,14,10,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,27,10,18,3,2,26,14,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,3,1,26,10,19,4,2,26,13,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,3,1,27,10,18,4,3,25,13,10,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,26,10,18,4,2,24,13,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,27,10,19,3,3,23,13,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,2,1,26,10,18,3,2,24,13,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
22,0,2,3,1,26,10,19,3,2,23,13,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,2,1,26,10,17,5,2,24,14,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,2,1,25,10,18,4,3,24,14,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,26,10,17,4,2,24,12,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,26,10,18,5,3,23,12,10,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,3,1,26,10,17,5,2,24,14,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,26,10,17,4,3,23,13,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
22,0,2,2,1,27,10,18,5,3,24,15,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,2,1,26,10,16,4,3,24,14,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,27,10,17,5,2,24,15,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,26,10,19,4,2,24,14,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,2,1,26,10,18,5,3,24,13,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,25,10,17,3,3,24,13,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,27,10,16,4,3,24,13,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,0,2,3,1,25,10,18,4,2,23,12,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
25,0,2,3,1,26,10,17,3,2,23,14,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,26,10,17,4,2,24,13,9,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,26,10,17,4,2,24,14,8,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,26,10,18,4,3,24,12,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,0,2,3,1,26,10,18,3,3,24,14,8,4,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
24,0,2,3,1,26,10,16,3,2,23,13,9,5,4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
