mean [habit-factor-incum] of turtles,mean [habit-factor-incum] of turtles.1,mean [habit-factor-incum] of turtles.2,mean [habit-factor-incum] of turtles.3,mean [habit-factor-incum] of turtles.4,mean [habit-factor-incum] of turtles.5,mean [habit-factor-incum] of turtles.6,mean [habit-factor-incum] of turtles.7,mean [habit-factor-incum] of turtles.8,mean [habit-factor-incum] of turtles.9,mean [habit-factor-incum] of turtles.10,mean [habit-factor-incum] of turtles.11,mean [habit-factor-incum] of turtles.12,mean [habit-factor-incum] of turtles.13,mean [habit-factor-incum] of turtles.14,mean [habit-factor-incum] of turtles.15,mean [habit-factor-incum] of turtles.16,mean [habit-factor-incum] of turtles.17,mean [habit-factor-incum] of turtles.18,mean [habit-factor-incum] of turtles.19,mean [habit-factor-incum] of turtles.20,mean [habit-factor-incum] of turtles.21,mean [habit-factor-incum] of turtles.22,mean [habit-factor-incum] of turtles.23,mean [habit-factor-incum] of turtles.24,mean [habit-factor-incum] of turtles.25,mean [habit-factor-incum] of turtles.26,mean [habit-factor-incum] of turtles.27,mean [habit-factor-incum] of turtles.28,mean [habit-factor-incum] of turtles.29
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812455,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.020547136381245,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812453,1.0205471363812455,1.0205471363812453
1.0225757750582494,1.021858607165772,1.0219462360595812,1.022348634452724,1.0217190954540558,1.021946236059581,1.0221733766651062,1.022348634452724,1.0210019275615787,1.0221733766651062,1.0219462360595808,1.0220338649533898,1.02203386495339,1.0214043259547216,1.0226634039520583,1.021946236059581,1.0222610055589152,1.0222610055589152,1.0226634039520583,1.022348634452724,1.0223486344527242,1.0214043259547216,1.0217190954540558,1.0220338649533898,1.0224881461644404,1.0214043259547216,1.0220857477712977,1.021946236059581,1.0224881461644406,1.021946236059581
1.0245621056007574,1.023402722687643,1.0232331873587683,1.024262046899323,1.0225472809983984,1.0225043865196477,1.022927406198591,1.024262046899323,1.0226349098922072,1.0239638281341965,1.024006722612947,1.0235761405389532,1.0230579295711506,1.0222043278182134,1.023320816252577,1.0229703006773416,1.0238761992403873,1.0231902928800174,1.0238314648253293,1.0234885116451444,1.023919093719138,1.023233187358768,1.0232331873587683,1.0225472809983984,1.0237009414527698,1.0228026052847743,1.02284917963614,1.0232331873587683,1.024176257941822,1.0231026639862086
1.0244379876486578,1.0245256165424663,1.02426272986104,1.025962632703948,1.0240485479037769,1.02346041797735,1.0247008743300838,1.025222677383832,1.0236104034347326,1.0233475167533062,1.0253532007563917,1.0243950931699066,1.0238303956374084,1.0233280546684835,1.0249832230963334,1.0238303956374082,1.0247008743300838,1.0241556388824082,1.024352198691156,1.0249832230963334,1.0254408296502004,1.0250708519901426,1.024613245436275,1.0236980323285416,1.025505026150081,1.0239803810947905,1.0241556388824082,1.0249832230963334,1.0253532007563917,1.0250708519901426
1.0257782651562768,1.024234709274655,1.0258236401981855,1.026965937007709,1.0253823745391328,1.024631723524272,1.025160618077134,1.0265700463905651,1.0249864839219889,1.0240183212676102,1.026657675284374,1.0259112690919945,1.024680702761811,1.0242419176659163,1.0252947456453236,1.023402921453412,1.0252905008228426,1.0251606180771338,1.025647741783717,1.0262617846672295,1.0263947886029472,1.026086526879612,1.0253401206872323,1.025294745645324,1.0267441805457105,1.025340120687233,1.0257275216594142,1.0246807027618114,1.0252053524921916,1.0260865268796122
1.0258930771663497,1.0252197992668248,1.0276636571346351,1.0277338793280189,1.0263138149349686,1.0256816672548712,1.026263860306314,1.0273014562858682,1.02513923052292,1.0248089825124136,1.027242919366016,1.0271087917978257,1.0262673162605875,1.0259807060601585,1.0267345527035878,1.0234097807740616,1.0257107592288277,1.0254652792478265,1.0271087917978257,1.0275760282408264,1.0264890727225864,1.0268924037907805,1.0270676615783982,1.0260956626686002,1.0278626384412552,1.0262535137557929,1.0270280535002645,1.0261385571473507,1.0264890727225864,1.0260080337747914
1.0260603748214585,1.0255717762002712,1.0279326740027328,1.0286401236354616,1.026556090670076,1.0268874078760646,1.02743123841703,1.027211745737843,1.025972745927649,1.025253158075578,1.0282019791664174,1.0277074615864603,1.0268612301626072,1.0265936166938732,1.027845045108924,1.022947792494698,1.026135865495924,1.0257406155056308,1.028142001859874,1.028334342475284,1.027306434781555,1.0274945295336886,1.0269130247275693,1.026949500724062,1.0289605816964618,1.0275839983638044,1.0275124488285807,1.0263836471690857,1.026377228686828,1.0276633688390484
1.0264826425361355,1.0277473628870553,1.02903783579747,1.0290670995274187,1.0270805741076885,1.027790257365806,1.0290172241751674,1.0285290256491848,1.0265255370148867,1.0255564782457964,1.0295345077264118,1.029331478738304,1.02830754091705,1.0278056487745115,1.029505243996463,1.0236213207077762,1.026929439112827,1.0266372887014514,1.0287693814955978,1.02897947063361,1.0278984978819172,1.0293299862088456,1.027285095625255,1.0272093332209251,1.0302648026068315,1.0291118339424767,1.0278642555108128,1.0275772460366306,1.028008330355771,1.028348671136478
1.0269781390638208,1.0285049728951925,1.0291189269868126,1.0301769086450498,1.0270704386308376,1.028501368699562,1.029687594828416,1.028688355572846,1.027292195092837,1.0269822579020706,1.0297387641760058,1.0295328556379235,1.0288477654365469,1.0279875229564963,1.02929418477443,1.0236199596188904,1.0284866588981914,1.0261460327058325,1.0288150155949018,1.0299551521830512,1.0279055973494986,1.0304033357802571,1.0286195740420163,1.0281249643348016,1.0306662224616845,1.0301404490988304,1.0293448022870617,1.0289353943303556,1.0289232561110129,1.0296805346785125
1.0288545445528057,1.030211240919363,1.0311861446072013,1.0303700449956097,1.028701506118903,1.0306011950190757,1.0314490312886275,1.0301951962592075,1.0293201285891618,1.0274636400726544,1.0310401663232027,1.0316761213078116,1.0305005683681694,1.029517744910212,1.030720560570845,1.024768935737142,1.0288759227701458,1.0277043830773498,1.0308446302875145,1.0298801059616034,1.029452491898029,1.032119152616221,1.0297203030854245,1.0294230588309397,1.03220678151003,1.0312583185895714,1.0308091882645858,1.030457673889419,1.0300572671882615,1.0302255434673997
1.029715084609812,1.0313771034043953,1.0317904225792596,1.031836921253641,1.0300134133487502,1.031330895115529,1.0321044937331714,1.0308164402561355,1.029807399301725,1.0281034057347274,1.0325473240003198,1.0327961497235545,1.0311806245182276,1.0306478915775703,1.0317063978810812,1.0261746711163875,1.0312249945393004,1.0289895342173432,1.0321614633757925,1.0320140189775655,1.0302026492920182,1.032985468469364,1.0313819527671493,1.030863631825535,1.0335177675666287,1.0319357616799647,1.03234747129372,1.0316635034023305,1.0316693713750078,1.0318610440463962
1.0309675623476005,1.032975904416035,1.0333777403788538,1.0331648840030658,1.031316095961424,1.0332750521095604,1.0341098297950728,1.033003513353418,1.0318231149864752,1.029144868714346,1.034046199017108,1.0340345563255195,1.0332095427411403,1.032293014514859,1.0334259307481852,1.0272669100008631,1.0314176053672937,1.0303058515071302,1.0334688692452596,1.0328590271659048,1.0319983727740925,1.0341338279109171,1.0327267885339493,1.0323728864651724,1.0346407049108637,1.0342232967410334,1.033391548326542,1.0327713982720963,1.0331383530558969,1.032914315351745
1.0321721295968342,1.0342122861230063,1.0347389304439525,1.034613485140832,1.0327922513049712,1.0340736378604105,1.0348830536071296,1.0337416714595715,1.03238990349817,1.0309696821611625,1.0353189797748337,1.0357441961594254,1.0338730154658835,1.033359116604419,1.0342629695655965,1.0289240229213834,1.033794500482378,1.03169855175051,1.0349853879058593,1.0348387732340885,1.0328691781866417,1.0356694953500687,1.033932286212387,1.0335715952314029,1.036320045265495,1.0355336035225553,1.0349952719116726,1.034443523243795,1.0345541235891742,1.0346609826151452
1.0338154000698487,1.0360112174357368,1.0360513428542526,1.035927452948345,1.033953926265846,1.0359569280498295,1.0365703714078744,1.035522433232878,1.034050930319742,1.0318272508423951,1.0368059016577682,1.0367881368533125,1.0356267498576068,1.0348570401739443,1.0357521951607274,1.0300088302347967,1.0341926522592262,1.0329088150096772,1.036099828832839,1.0357143787514156,1.0342191279574555,1.0368059016577682,1.0350882015067917,1.0347246050386796,1.0376407138645156,1.0373121862658592,1.0360785500479168,1.0356267498576066,1.0358312426672127,1.0358316608816662
1.0343647651114376,1.0367545753676064,1.037141726057781,1.0370193275752582,1.03550596574972,1.0367364407442203,1.0374212545867358,1.036378892315026,1.0346173213873764,1.033298635879747,1.0379831962184822,1.038220076115174,1.0365449220941148,1.0359536508300269,1.0370193275752582,1.0313995347606082,1.0362945680816291,1.0339816709816216,1.0376906017271754,1.037328213683441,1.035173851009637,1.0379831962184822,1.036459460432925,1.0357461666014038,1.038823038376089,1.0383346053383438,1.0375450432257411,1.0369830665631596,1.0371470666467757,1.036866560000398
1.035882165917123,1.038413255678369,1.038450148242316,1.038153922052988,1.0364864171243624,1.0386050465518055,1.038839730423513,1.0378903436107734,1.036106313519861,1.0343770079305663,1.0392033014850228,1.0392534164126448,1.0381191524642734,1.0369873954871545,1.038066293159179,1.0322216827237836,1.036597099920798,1.035577303734306,1.0387081933986086,1.0381050321644651,1.0364362174727944,1.0392033014850226,1.037346987296381,1.0367257111128938,1.039956733621068,1.040092819547418,1.0384398626370412,1.037856265782847,1.038153092207166,1.0381181759770868
1.0364824919304048,1.0391079201202564,1.03954030953457,1.0392454546065175,1.0377734536984322,1.0391111963504134,1.039600878563731,1.038568989516946,1.0370299148901414,1.0353270016041338,1.0402051741578688,1.0405035376827327,1.03894922841719,1.0382181406237443,1.0393330835003267,1.033440951638615,1.0384320708869217,1.036469032004487,1.039855584893295,1.0395365142988584,1.03730695953798,1.040029916370251,1.0387165749567877,1.0377525956374958,1.0410437997318562,1.0410116831497758,1.0396411851135807,1.0392997439924252,1.0392893933074947,1.0392378922114676
1.0377447407709797,1.040460627229168,1.0404139786616733,1.0402956963822376,1.0385802222936449,1.0408857321344585,1.0410209390775025,1.039906336936031,1.0380031572272057,1.0362379218294504,1.0413410973754584,1.0415341917943128,1.040176099241803,1.0391425866526405,1.0402956963822376,1.0342703687670929,1.0391724601295331,1.0381019307526322,1.0408717592258565,1.0404853915724337,1.038488799170563,1.0411658395878407,1.0394308457020551,1.0385655905842854,1.042261412362592,1.0424953433603132,1.0404497897490814,1.0400008414541853,1.04038256228986,1.040490416254678
1.0383560875656337,1.041158711723733,1.0414233671778634,1.0412187167850957,1.0397847443972963,1.041389309924048,1.0416119531246195,1.0407649512758,1.0388523451952154,1.0371113757060229,1.0421746215316945,1.0425224548761338,1.0411004345056598,1.040288292499318,1.041306345678905,1.0353249542728786,1.0403973577760994,1.038988262040279,1.0420213958727642,1.0417421526951458,1.0391946975975812,1.042086992637886,1.0408935857922308,1.0396044293563205,1.043130371549735,1.0432313659328911,1.0416560723762809,1.0411880633994688,1.0413467442939353,1.0413517207208132
1.039457250308436,1.0423430446258162,1.042307214624714,1.0422361364651125,1.040512392360364,1.0429020970005731,1.0428652730022394,1.041759904211355,1.0396666058757638,1.038124162020607,1.0432331451422794,1.0437329571619711,1.0420743805510952,1.0412188258167638,1.0421037731562457,1.0361681150490476,1.041144543231531,1.0401814455115517,1.0428680694219543,1.0424322621811484,1.0403024983451827,1.042970258460853,1.041529128191033,1.0403448621715432,1.0443945263326178,1.0446237301035006,1.0424730373459854,1.041856228284727,1.0421836403868028,1.0425245109248646
1.04008579010385,1.0432265915612282,1.0431547092321358,1.0431276847522637,1.041641048080829,1.0435856279421984,1.043468058084142,1.0427175387099823,1.0404473758358506,1.038839613921675,1.043904824260519,1.0443787104472138,1.042836614389986,1.0421987149884884,1.043127684752263,1.0369765964374809,1.0422919328630114,1.0411575036884773,1.04393920158808,1.0436965769823343,1.0409374031228027,1.043904824260519,1.0426534913674803,1.0413141233084018,1.045138224050312,1.045622727237538,1.0435156828530188,1.0430118721776034,1.0433330261393383,1.0433093610221384
1.0410317851035324,1.0441614269111192,1.0439673462003902,1.0440290621371129,1.0422959500616993,1.0447560058821703,1.0445610112593178,1.0434641318995617,1.0411960325561556,1.0398725505086654,1.044892184253213,1.0455128645340996,1.0437391509758132,1.0430542764053858,1.0437661754556866,1.037751824809004,1.0429647982250267,1.0421810452722209,1.0447982284568198,1.044222275870372,1.041889501311576,1.0448045553594043,1.043479535145227,1.0419878402318528,1.04636989828928,1.046580635400244,1.044259765831396,1.0437391509758134,1.0439201766277038,1.04423358365468
1.041683192831135,1.0449737875797618,1.044834188125633,1.044721712080349,1.0433548518581752,1.045538542932312,1.0451816791484212,1.0443516711394163,1.0420015257550863,1.040435670305025,1.0455832556225872,1.0461730387323729,1.044432912441836,1.043874648393471,1.0447217120803487,1.0384951678674987,1.0439532956710302,1.0429908347740429,1.0455342944681434,1.04541296701574,1.0424591323089532,1.0455832556225872,1.044271603561138,1.042805500622395,1.046951928022395,1.0474991445900252,1.045232526999395,1.0446957991232626,1.0449981382636049,1.0449481392155555
1.0424794616079518,1.0458403645696586,1.045581351954104,1.0455575267714212,1.0440304978030672,1.0465481765476683,1.04612012601503,1.045031052103599,1.0426022352500115,1.0413189360445718,1.0465051855606955,1.0471493670049858,1.045357421832328,1.044661278301675,1.0453822689838037,1.039207937062889,1.0445578288162027,1.0439389710479532,1.0464117395148966,1.0458680704050802,1.043348641442391,1.0464175566668874,1.0451187229231105,1.0434178768696718,1.0480249795208356,1.0484675041890943,1.045997228890748,1.0452697929385195,1.0456044312187365,1.0458049585414086
1.043071326083271,1.0464996454658253,1.0462977847703645,1.0461873106288644,1.04485000787398,1.047172976526913,1.0466766671721213,1.0458541435716402,1.0433498910235883,1.0418225656864657,1.0471335180279917,1.047742231497542,1.045988227658564,1.04541555394915,1.0461873106288644,1.0399790187986828,1.0454808045644406,1.044676456676886,1.047081441462357,1.0469910696601068,1.0438582576860165,1.0471335180279917,1.0457593464878592,1.0441767195395164,1.0485389353997308,1.0492243813533848,1.0468181073193257,1.0461205909674312,1.046529094395562,1.0465425120022036
1.0438105006348315,1.0473034635860512,1.0469847505476826,1.046962844930042,1.0454641577238613,1.0481153855298826,1.0475536248532722,1.0464717275149995,1.0438951419591496,1.042736417008458,1.0479952895288247,1.048654018527398,1.0467647418947328,1.0461388060737302,1.046787587142424,1.0406343610753042,1.046197768721267,1.045555262952058,1.0479828809075589,1.0473812653414034,1.044690220485687,1.0478200317412063,1.046545274656802,1.0447326972518465,1.0496343418303165,1.0501217815858108,1.0474335692460195,1.0468523707885422,1.0470724187890497,1.0472497297273125
1.0443476191829066,1.0479901957924378,1.0476434612718435,1.047622456637063,1.0462247010476466,1.048675725859798,1.0481388347824057,1.047235563687245,1.0446772490898877,1.0431853495429029,1.04856593788857,1.0492726252664828,1.0474252932318044,1.0468323106797286,1.0476224566370629,1.041262748980291,1.0469728728788108,1.0463138990341243,1.0485039367666078,1.0484420265566607,1.0451446572888805,1.0484783089947611,1.0472148527295273,1.045437461070862,1.0499980795861044,1.0508106179577792,1.04819537068061,1.0475540523450413,1.0479367033149904,1.0480154883260169
1.045034299519228,1.0486486825524857,1.04827507907938,1.0481673094760284,1.0467823094656523,1.0495563264529637,1.048959257384538,1.0477963295181312,1.0451715096925565,1.0439591245676716,1.0492847689480491,1.0500374421666354,1.048058675947439,1.0474972912891072,1.0480796805822192,1.04186529115286,1.0475444432402896,1.0470413322476684,1.0493468686678131,1.048860172956234,1.045923710190617,1.0491971400542404,1.0478568909091963,1.04594158420737,1.0510334710961304,1.0516427759306046,1.0488418143568563,1.048226873585152,1.048509761338566,1.0487533553011568
1.0455210829506532,1.0492800856076046,1.0488807183078983,1.0488614059901589,1.0474886369190588,1.0501450294603398,1.0494902575348568,1.0485056845193332,1.045817094840171,1.0445330246595277,1.0498900096301436,1.0505991483878774,1.0486660074929983,1.048134921100108,1.0488614059901589,1.042443050633657,1.04826415837937,1.0477388459735204,1.0498118234109866,1.049776081678602,1.046327413291585,1.0497147518425258,1.0485601508114644,1.046596626240642,1.0514272912520166,1.052269053471424,1.0494616696628525,1.0488720215400236,1.0492309029518745,1.049376848947524
1.046159498464716,1.0498855189165182,1.0494614474620536,1.0493553005703713,1.047994259377331,1.0508811725758311,1.0501710711244632,1.0490142100016957,1.0463521022308258,1.045128054529734,1.0504703566301756,1.0514846628885897,1.0492054648800715,1.048746325057068,1.0493553005703713,1.042997046740232,1.048782617884867,1.0484076708067744,1.0506009616475225,1.0502269869920902,1.0470578191794009,1.050382727736367,1.04906283188765,1.0470978070744217,1.0523198742744369,1.0530412256715524,1.0500560301840984,1.0494906344179469,1.0497507302604012,1.0499746981634035
1.046600002216611,1.0504660506205856,1.0500182910986686,1.050000534750111,1.048738367958741,1.0514153843714635,1.050652229109751,1.04967347331137,1.0468651046501058,1.0456986106908106,1.051026833830751,1.0519064241014269,1.049894387858428,1.0493325818351176,1.050000534750111,1.0435282568653796,1.049451406629124,1.0490489867278765,1.051101964165064,1.050959759176315,1.047502505022612,1.0509392049369422,1.049804120066664,1.0477500278225205,1.0527484132791334,1.0536976135614742,1.0507135734204938,1.0500838036124582,1.0504208305496494,1.0506355866036563
1.047194041544521,1.0510227049282814,1.0505522316343243,1.0504475767144703,1.0491961929007565,1.0520992775107092,1.051285250553513,1.0501339673844714,1.0474446360611245,1.0460293117447437,1.0515604230019615,1.0526541453670102,1.0503421914721038,1.049894725743247,1.05044757671447,1.0440376182015196,1.0499210343535932,1.0496639251844224,1.0517540139311146,1.051490738687827,1.048100554431504,1.0514727941081528,1.0502592406100526,1.048203768996149,1.0535026335645088,1.0543270040734551,1.0512600470611164,1.0506525756278438,1.0508917158749769,1.051097638965359
