mean [alt-quantity] of turtles,mean [alt-quantity] of turtles.1,mean [alt-quantity] of turtles.2,mean [alt-quantity] of turtles.3,mean [alt-quantity] of turtles.4,mean [alt-quantity] of turtles.5,mean [alt-quantity] of turtles.6,mean [alt-quantity] of turtles.7,mean [alt-quantity] of turtles.8,mean [alt-quantity] of turtles.9,mean [alt-quantity] of turtles.10,mean [alt-quantity] of turtles.11,mean [alt-quantity] of turtles.12,mean [alt-quantity] of turtles.13,mean [alt-quantity] of turtles.14,mean [alt-quantity] of turtles.15,mean [alt-quantity] of turtles.16,mean [alt-quantity] of turtles.17,mean [alt-quantity] of turtles.18,mean [alt-quantity] of turtles.19,mean [alt-quantity] of turtles.20,mean [alt-quantity] of turtles.21,mean [alt-quantity] of turtles.22,mean [alt-quantity] of turtles.23,mean [alt-quantity] of turtles.24,mean [alt-quantity] of turtles.25,mean [alt-quantity] of turtles.26,mean [alt-quantity] of turtles.27,mean [alt-quantity] of turtles.28,mean [alt-quantity] of turtles.29
5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968,5.289999999999968
52.27810421921,63.08480772101473,56.64801129490721,66.9680249909458,49.73372503081785,56.208004424591365,58.160022843546194,63.6509332896823,65.67684065882334,60.09593801112782,62.1797024481081,66.54144037961937,49.81491926919914,56.0909415167196,61.13269702835249,61.46159927646328,46.57676162765779,52.049458372865665,54.51919317742423,54.79001278105984,57.08931037170893,72.20872353680889,63.63311232452846,61.1344562765397,59.2405191480497,54.86866631674227,54.43153730276428,64.02278037705231,50.43784443416949,60.03058207498182
130.7492426624876,153.94219640152772,146.27405782568195,135.6792405858048,134.7622352424795,142.27806291182216,145.63055298241505,154.4840588564338,182.49193063064203,169.08796284924668,141.56174775467755,164.57272952807875,130.43845769973692,144.18392827431478,160.47047149759115,171.22566270283704,137.64135279407702,129.80526135513037,142.93322987736585,148.21188001123005,130.89554790297413,168.76145458319374,134.65748874255985,141.08687166324958,130.33951198627736,157.8130906860027,146.9071111646958,135.957857980216,107.00687176345308,145.07914772401034
270.35903979832267,313.9881901301588,269.52551153613325,277.67711669387637,248.06793668447204,306.34606717198363,273.41757025390825,313.47758303604047,335.094861334563,354.37794341662845,273.4287228125021,324.04274884124214,286.77495622367064,305.72924437040126,328.29730089871384,308.39290202942374,290.00115252318227,266.7923674707495,290.29460626935077,264.7729162899463,234.06830088615803,319.8890731423489,270.01722389581124,294.1137594445969,252.14323031023008,299.21771577632313,269.8657110614667,276.15341904892955,227.7847533176656,254.087488899354
434.5203520652401,495.04948507019327,434.1533710943915,465.7250648085848,393.0615185306989,477.6441964281021,421.7421826812778,455.1946992481179,494.3755965490656,499.2304477125451,473.5654618983076,514.0707058464575,421.42562109265543,468.22582681300656,486.85392173688246,475.25298384527264,465.7266982833445,445.64716187696575,455.7121186442501,425.7115601447742,398.6587528766287,533.1695316574759,405.79416190180746,433.8837761220109,454.9680746129426,413.3105109091255,416.5667536346539,467.3977244234184,408.4649716647874,409.24241307601903
631.0629592423488,680.8943084121619,629.7828206421941,674.9213440180082,574.734412881073,649.6979377458405,635.9945474648945,612.7342378747173,707.7651089871152,676.4978355636875,674.367188638565,728.9754722860094,587.3434557846481,663.1430973009044,686.9363988926409,654.0906167724157,630.841114492484,607.8502005475012,601.9191592078699,622.580112113755,558.7755886397067,750.0087612505426,560.8396649995528,567.6456543585264,658.2142426120138,540.0693496273497,600.0411490826272,657.5660942268341,591.9352031071971,578.4100153022077
836.9736398134604,878.0289331403178,834.6048742577431,867.5775308782136,755.7635972155422,834.4254543175542,799.1663877744148,811.1664991611462,903.9727837659408,840.7114050283568,864.6163010565732,882.4027117594711,760.8919387984303,846.9087139177191,843.0613514320593,846.573585847895,798.8136744844675,776.1128955927671,764.1313142364762,818.4688327901974,707.949298447541,929.9582784467268,760.4732285219224,733.0894419921649,811.67987650127,715.0849548817489,783.0422881921012,821.3272689530196,793.6082604970989,752.7343796649498
1019.6670267638478,1037.2375090414366,1012.8501223053432,1032.874911034555,907.9020250288112,1037.5467497231534,933.9038998209696,1003.5528252783008,1057.7464710801355,982.850516419074,1027.1751139353184,1000.9563611867292,915.5295914533788,1024.3049067485815,977.8658012892798,1004.825890658913,959.420651051795,936.2592913097816,925.7094585139964,1002.7264021437784,879.0789214195374,1052.3533176641704,930.1795115058868,903.5351586407272,984.1297932514294,900.9644840069012,979.475077333248,942.8169378834368,986.663570558543,907.6468465336078
1091.0129748938723,1116.1285514165586,1123.1294360832017,1138.7737557291664,1008.4071003408528,1134.5234546045017,1044.9135437397797,1127.227507324622,1139.4795164625557,1127.779603244232,1131.7035056737418,1087.4288319873676,1024.660717414356,1125.8728122439436,1061.7016428582042,1108.1675427113314,1071.837716895138,1053.0477904802503,1064.1056029300582,1120.3559718544486,1044.3190446807048,1145.3023239683732,1064.3275718592115,1060.017887177889,1098.5603997044936,1064.3989840120355,1105.6830299458363,1068.7332188908408,1113.1997469467078,1068.7680972977575
1183.9133804653677,1210.9199693917058,1209.03925090369,1222.861400589151,1100.0061776644554,1202.4251206510846,1154.2103309439972,1225.740078951588,1216.8766140074108,1208.2123651977174,1217.834368128486,1185.923085331489,1132.8284042731268,1212.6227589037132,1157.6681676424255,1212.2704652694074,1174.1205002498446,1151.0261474112006,1188.6553278241392,1194.1615490523905,1171.4699259992965,1226.97581551592,1173.0411695103685,1195.7929672025707,1179.043942840006,1201.3861500215776,1193.2337991623756,1168.5624296063663,1198.7879291424476,1169.1878000320576
1241.271775247325,1234.661680316945,1224.3389212881484,1257.5666389248408,1147.0123345617249,1240.0283067112991,1203.7823166410303,1237.0730658939683,1241.2083414798803,1235.1674910749286,1241.3804559554856,1224.5581283331871,1183.9346821466338,1238.947609918405,1212.6261657596883,1232.2728585474017,1212.9866821393784,1208.877167556799,1215.2685856297694,1204.3738403635364,1216.8527604405783,1247.557383552648,1206.9078760226043,1248.0063721713902,1218.0532036260809,1229.4095421098525,1215.0658140137127,1202.2620049210493,1213.8218813570422,1197.4859415854846
1275.785282414885,1268.614961338435,1267.0946693254182,1277.0703161199026,1227.722275108498,1278.948749422107,1263.3729646717395,1271.7072593129285,1282.8301207692025,1276.3496814892644,1278.9376418879108,1269.2506928322143,1246.3692232073563,1273.640677283463,1264.1225136455994,1269.2282057385526,1264.1088588404598,1257.3837569174943,1258.8693062924328,1261.914061696413,1266.369653146014,1279.3263630659242,1253.0766673103326,1271.597446407794,1272.5597785227812,1268.2876823159895,1267.8076802417304,1250.6710566419754,1253.8138920251952,1247.2689676128944
1238.7065724623765,1236.6446246814585,1236.8322394674967,1236.3671890625208,1212.8141019824986,1239.4903451002829,1231.881619811149,1240.4544335278615,1244.1473286895507,1240.250543032463,1237.5349667097903,1237.0449174946343,1226.929610062247,1241.5056826547002,1233.2915442325998,1240.837755714162,1235.674667723922,1229.235612704574,1229.1272002352189,1234.9721791517295,1232.2121236994008,1238.3860853128508,1231.3231955641234,1233.94668628876,1236.0259374098428,1227.0598925335146,1231.795053166558,1231.2906100273512,1226.6304806068729,1216.3251303633467
1244.0700692340197,1241.8143960686166,1241.9906666096708,1242.070447112198,1231.7372906383291,1245.7687739148466,1238.1259968056386,1246.980085885079,1249.9001366079915,1243.974174935925,1243.013153806008,1241.5302813956491,1237.5210632782655,1247.4757442773391,1239.5393497183186,1246.0879764243682,1239.548094244746,1237.0433137515963,1236.5113414094917,1239.796223589527,1237.3327625541178,1244.319090961316,1238.149263988597,1240.4454615835573,1240.8447880685771,1233.6884090111146,1238.1601483969123,1238.0865576574013,1239.2903007478085,1225.5713583905674
1235.7732257198206,1232.9029602827402,1234.311268177077,1232.7435388871932,1223.2942240801792,1237.0312889152592,1229.3680478339008,1238.5209028562876,1241.0721244163526,1237.4128203957396,1233.8552150420346,1233.1640481348545,1228.6203412493765,1239.916418833519,1230.669322834364,1238.4370178813658,1232.919180148068,1228.64288983199,1228.597494729155,1231.743622013064,1230.5968492207833,1235.6980955622014,1229.55022793199,1232.9521000734378,1231.6927074115918,1223.8895000895434,1229.427150751065,1230.1746202417564,1230.7542087689578,1226.5071257169493
1232.1584570946115,1229.317360594932,1230.5422107366448,1228.4547797377022,1219.552560256108,1232.6573710552464,1225.826134103199,1234.1653424979916,1236.0830101393965,1231.7789147361525,1228.0829438362537,1227.1117810856406,1223.699955216742,1235.5153577964677,1226.5606144774804,1233.720270444532,1227.4166974992868,1225.2357584935055,1224.2354198852504,1228.7561815072804,1227.164584591933,1230.7065847761817,1226.0762759030486,1229.04436618246,1227.5721134844514,1220.2251201355857,1225.2327433765315,1225.5225786307028,1226.8158872937822,1221.4420627813
1224.4738577874643,1221.620181394885,1222.7348104663845,1220.6059496377443,1211.8245443289363,1224.9187074763995,1216.382178216129,1225.4695475835213,1227.935870713126,1223.5470340794618,1220.362766565568,1219.1039158852277,1215.9283901324811,1227.7824075618378,1218.7448977072215,1226.1587925658096,1219.5539061100371,1217.0889852532696,1216.7777817440008,1221.7698956335416,1219.4973197855877,1223.6276099230558,1217.6235304050435,1222.28761308373,1219.210963977043,1212.2122345986145,1217.7906869732583,1218.063591797834,1219.663310452837,1213.4017082264668
1207.193798397097,1203.1401480741224,1204.6400102251882,1202.0058138174345,1193.7885100999065,1204.6596699812806,1197.9430176225885,1206.3519542968736,1210.5512629018062,1206.436038323336,1200.2166141309976,1199.6708333354873,1197.4080260907424,1209.1497563659216,1200.0781420422854,1209.1043228698286,1199.6552368726352,1198.805031591161,1198.1992196931346,1200.8051712672277,1202.6412129255898,1202.5121807300904,1200.5914889162025,1204.2015047978928,1200.1471370283732,1192.9620332144573,1199.3993899938032,1198.458801610932,1200.660466716823,1196.8433044544488
1188.7656011074762,1184.1926712488,1184.7896641191546,1186.4024108260246,1175.871948359349,1184.4435525237438,1178.754318304345,1187.6932357288986,1195.3447150901898,1189.979878171398,1180.8749342382,1179.101234522905,1180.415354293331,1192.4126519060928,1181.451341377346,1191.9956940740526,1182.40814494007,1181.116142515356,1179.4426948541466,1182.9734531657923,1184.634074179775,1183.842153547466,1183.6178512781366,1186.4703388584614,1180.020053426487,1174.1497058327566,1178.127240014763,1180.3237520287794,1184.172708583303,1178.0426376788262
1225.458114762859,1223.5063747170195,1223.7896435691275,1224.153707964026,1214.2196825632068,1224.4205304362697,1218.0678715729446,1225.8400870037176,1229.336922027577,1226.0951096405174,1220.61672957837,1219.8301095611785,1217.5853695824,1228.8368440685035,1219.5016633935563,1227.0456521966576,1221.4751598201617,1218.5568886322058,1217.2360341834992,1222.1566607034915,1221.0402438164042,1222.7914852144988,1221.2315065943942,1224.8283906765291,1221.432321306706,1214.9018730332082,1217.7107696357127,1216.8333817365296,1221.86755359493,1216.7469103395888
1217.158094482209,1215.450729883872,1215.6004592698373,1218.1823401918634,1207.1721155808373,1216.0614578527388,1211.39669408215,1218.071825125237,1223.7546581352178,1217.520736896873,1212.2286318316503,1211.8777990315546,1212.0884152783492,1221.2823403336797,1211.6706637831703,1221.0494591365284,1215.2177526333166,1210.2220656871257,1209.98321604683,1214.4151032483624,1214.9150406631557,1215.071791221167,1216.021160500687,1220.1372116071052,1216.5418836045196,1208.4249053765284,1208.3470027842734,1210.1689482600325,1216.1136977519816,1207.6062488358075
1228.9738372829297,1227.2112912759883,1227.6601881033075,1229.6952733153623,1220.458629182939,1229.1486121417406,1224.0064775317378,1230.926805043388,1235.523512078624,1229.076799669945,1225.7292598770446,1225.1688162576522,1225.294167162857,1234.017423556731,1224.6678136400456,1232.0892648660813,1227.4635514600477,1222.989462175659,1222.628510163693,1227.0236727407917,1227.1928829173828,1227.6230676660366,1228.013985437005,1230.3882865936314,1226.6452879772548,1220.3434378300117,1222.5976604357454,1221.848775014586,1229.6906491395218,1221.658080603038
1226.0090993961817,1224.0200900470536,1223.7034541090206,1230.159461298068,1217.5769419529738,1228.432435688031,1221.0310873056967,1226.5081330553498,1233.2606917173207,1225.2749653298845,1223.699860905636,1222.1050588458054,1221.5271187860435,1230.2316416709518,1220.2284330916357,1230.6803212479335,1223.9184154609652,1220.1287259981143,1219.982418442652,1222.3290293841942,1222.8729368462043,1222.58171527205,1224.920074416474,1226.6550854381308,1223.784203675268,1219.320152837861,1218.7680140826,1219.190774678861,1228.8697933307608,1218.8038984240015
1212.6398887015955,1212.614434486976,1210.170129573347,1217.9114261185632,1202.2042176678249,1215.5443859192417,1204.2139078842674,1215.495720847112,1219.01330924862,1212.816769540113,1209.2943164043893,1209.071571640488,1208.063672853203,1215.3721116258637,1202.5811394268214,1215.30060276017,1212.786231236153,1205.4007715472117,1200.751427654013,1206.883792934636,1211.6686205187088,1209.16831597136,1208.6458881983451,1212.5326294864528,1210.1968023301692,1204.0131310873903,1201.5863099383669,1206.35926856119,1216.1570493387112,1202.4679463274138
1221.9348045451177,1222.3776668718683,1220.9204588886196,1228.0607315566467,1214.6630865839634,1222.700353804198,1208.8825339020864,1221.8139476485253,1226.4693911729648,1218.8314413790076,1215.8391848363026,1217.7242458970331,1217.971754152246,1224.5717001749044,1211.0061452573054,1223.2374187834082,1218.435573557196,1215.217115390085,1211.5856415266528,1220.3144960805023,1220.6556977955163,1215.4015054756835,1214.906996072479,1222.978417330662,1224.2139493693846,1212.831574248641,1210.3159811362957,1217.1387400150284,1220.4542464475871,1214.3238246103065
1222.9597387678966,1227.5959692478468,1221.5936024281727,1228.3977296118676,1215.9695630980996,1225.742223879432,1211.5541745637315,1224.87410730315,1223.479313046354,1221.1476217869144,1219.2634650791645,1215.4082101008394,1221.12802260438,1231.7406572051264,1211.2727726513874,1217.5916100780269,1219.7065078056328,1217.6648297867837,1210.252718328633,1219.96374517173,1221.004640702914,1228.4129585262638,1221.4631706834189,1217.7273323672107,1225.1674464176583,1210.0234201989183,1216.6026429393858,1213.551963922798,1221.4759250995942,1218.5469411594784
1241.1170537083624,1243.4964176292626,1242.8479688451648,1251.0728114675762,1229.5911339388126,1249.1108790521569,1230.7721850145206,1249.2304212432623,1246.1154538978722,1252.559459831812,1239.2547812830217,1243.0454159606063,1244.884756697567,1258.0302566480889,1235.9568598660017,1233.2860315119285,1236.1297598973822,1232.961223928838,1238.318824402633,1245.5094047526998,1239.3073670025256,1248.7659243973037,1236.6786911256877,1233.2434485760132,1253.8460986060134,1233.528748147563,1234.2837015899147,1233.3397605196585,1237.2495188089065,1234.9696562791416
1244.8260060806383,1252.5958936596771,1250.981242224079,1251.0350079582531,1239.74858702468,1256.5448302445664,1239.9155677933495,1257.1650627308154,1251.4776684108106,1258.5933309205288,1247.584909096715,1251.2167447324157,1253.5153597860783,1260.1062219886371,1247.591238212672,1239.0252079501288,1243.5598365824924,1242.0623080831683,1243.0179037349735,1248.2375342738178,1248.9311106449504,1250.981200956372,1247.9415086504323,1245.9687009059724,1254.8139364036394,1242.095212814355,1241.9782933673976,1239.1544524533197,1246.9896268559064,1244.676493813664
1345.7683677172429,1345.932058743491,1345.085513994543,1346.3079987035871,1331.6350103694251,1343.6258726396402,1338.5213607574851,1364.330149999868,1342.183949035514,1346.07909639047,1358.8940519467062,1346.264060977148,1351.6807925399546,1348.810594968662,1336.456024335359,1332.3704110634956,1340.7471840498226,1331.7130155269715,1336.9538660330718,1360.1626382281067,1342.0405670179523,1345.7581300653696,1348.2918069959055,1337.9321257427302,1352.4429012624505,1332.9433343962814,1331.3295153494614,1338.4363321235076,1344.9897378378212,1326.2697549867355
1396.9455317416898,1413.7626267752655,1408.349921937927,1411.42104167179,1390.6642784428614,1422.723806463121,1402.828319435223,1415.9878302339855,1394.6896996131006,1392.5510855793807,1415.7587399515826,1401.9171945973926,1405.056002264515,1411.3865631519764,1393.6143678260148,1397.52529873398,1408.9284317499428,1397.339559092655,1401.8001082322587,1412.9033430476516,1400.6261059668975,1414.816425153597,1400.114933085751,1408.775318043607,1417.0312135614154,1395.7741986017031,1396.3495413059372,1398.7218038368185,1403.3457620371728,1389.197753013869
1406.9140070979354,1417.3606523453009,1413.4389399955696,1415.245554886221,1392.9297121596082,1421.293942596251,1402.705994958385,1423.425191047881,1405.9680103259125,1396.804271167442,1420.998296854218,1410.715828157959,1413.2977601458908,1416.1378632035023,1402.3666860163826,1399.237939958675,1416.9528519478397,1404.77929018396,1410.834917974034,1413.1583534171264,1404.306599565513,1427.418243757205,1414.145461372368,1415.184072348805,1417.424549547753,1399.0889409240951,1396.013478433748,1403.395301327191,1414.3910163798444,1393.6605516587329
1441.4162747791947,1456.346800212969,1444.784370232445,1448.8500663521145,1431.39057832532,1453.720441268737,1452.50733001881,1455.3339937925437,1438.8377195707756,1431.1747856713655,1461.1832181250734,1444.956582999581,1439.9583651600706,1448.509120107534,1438.4433599888707,1429.9466086898444,1449.634332625086,1443.607733609299,1435.6581420286889,1450.4728702147245,1438.1508461217977,1454.4225383492887,1450.4977029181746,1443.2290505127996,1458.5171157150933,1444.1121247761057,1434.8487218639457,1437.5754834020368,1446.543731585272,1431.9313657813466
1449.8937924068573,1463.2191838931556,1455.0438112415934,1462.0601172812962,1440.7197280163623,1462.4362199619884,1462.5558857084002,1469.5048676912418,1452.7451042001042,1443.018146433447,1469.0023803479576,1457.9182201710992,1461.4567625898612,1461.5785564430846,1455.2351661494097,1448.6859608991151,1467.673088676875,1452.5329104241482,1443.8058146234612,1460.385247265387,1456.6566901698943,1465.0803443451668,1455.8205400692643,1459.0633985190443,1466.3973884351367,1452.9160321032027,1447.3149673761734,1448.9582523465162,1456.6392122106347,1449.6562760429
